id,name,level,target,equipment,directions,type,image_path
11,Barbell Curls,Easy,Biceps,['Barbell'],"['Load the weight plates onto the barbell and lift it from the rack using an underhand grip (palms facing up). Your grip width should be slightly wider than shoulder width to evenly activate the biceps muscles.', 'Move to a clear area and stand hip-width apart. Hold the barbell firmly in an underhand grip in front of your body with your arms extended and your triceps slightly contracted.', 'Tighten your abdominal muscles along with your entire core to maintain an upright stance.', 'Now bend your arms at the elbows, bringing your forearms upwards. The bar moves towards your face. Perform the movement until your elbows reach their maximum bend.', 'Lower the weight in a controlled manner, using only your elbows for the movement. Keep your elbows, shoulders, and torso in place throughout the flexing and extending motion. Avoid swinging your torso back and forth, and make sure the movement is only done by activating the biceps.']",Free weights,barbell_curls.jpg
12,Barbell Front Raise,Easy,Shoulder,['Barbell'],"['Lift the barbell with an overhand grip off the floor (through your legs) or from the rack, keeping your back straight and standing hip-width apart. Your arms should be extended in front of your body.', 'Form a slight hollow back while keeping the rest of your back straight.', 'Slightly bend your elbows so they aren’t fully extended.', 'Slowly and controlled, lift the weight forward with arms extended (elbows still slightly bent) and stop the upward movement when the barbell reaches shoulder height.', 'Lower the barbell down in the same controlled manner.']",Free weights,barbell_front_raise.jpg
13,Barbell Lunges,Medium,Butt,['Barbell'],"['Stand in front of the barbell rack. Duck under the barbell, positioning it on your shoulders. Grip the bar firmly with both hands. Stand up, lifting the barbell out of the rack.', 'Step away from the rack, feet hip-width apart. Keep your hands on the bar throughout the exercise.', 'Take a big step forward with both feet pointing straight. Plant your front foot firmly, and balance on your back toes. Your back leg stabilizes your body while your front leg bears the weight.', 'Lower your torso straight down. Keep your front knee behind your toes. Aim for a 90-degree angle between your upper and lower legs. Your back knee should hover just above the floor.', 'Push off the ground with your front leg, explosively but controlled. Maintain stability during the movement. If you struggle, use less weight.', 'Either continue with the same leg, switching at the end, or alternate legs with each rep. Return the barbell to the rack when finished.']",Free weights,barbell_lunges.jpg
14,Barbell Reverse Wrist Curls,Easy,Forearm,['Barbell'],"['Sit with the barbell at one end of the bench, keeping your back straight. First, rest the barbell on your thighs.', 'Grab the barbell with an underhand grip (back of the hand facing downwards), closer than shoulder-width, and lift the bar slightly. At the same time, spread your legs.', 'Place your forearms next to each other on the bench so that your wrists protrude beyond the end of the bench. The barbell is still securely in your hands in the underhand grip.', 'Extend your wrists and lower the weight. Keep your forearms still. You are now in the starting position.', 'Bend your wrists and lift the barbell in a controlled manner. After a short moment, lower the weight just as controlled back to the starting position.']",Free weights,barbell_reverse_wrist_curls.jpg
15,Barbell Row,Hard,Back,['Barbell'],"['Stand about shoulder-width apart in front of a barbell lying on the ground.', 'Bend your knees slightly, keep your back straight (not rounded), and grip the barbell using your preferred grip.', 'Lift the barbell with a straight back and stand up. The barbell should be in front of your thighs.', 'Bend your upper body forward as described above and stick your butt out. Maintain a straight back with a slight arch. The barbell should still be securely in your hands and in front of your shins.', 'Tighten your abdominal muscles and pull your shoulders back slightly. You are now in the starting position.', 'Pull the barbell up towards your stomach in a controlled movement without momentum. Keep your back straight throughout the exercise.', 'Hold this position briefly before lowering the weight back to the starting position in a controlled manner.']",Free weights,barbell_row.jpg
16,Barbell Shrugs,Easy,Neck,['Barbell'],"['Take the barbell from the rack or pick it up from the floor with an overhand grip (back of hand facing forward), shoulder-width apart. Ensure your back isn’t arched and lift the weight using your legs.', 'With the barbell in your hands, let your arms hang extended in front of your body. This is the starting position.', 'Lift your shoulders up towards your ears. Hold this position for a few seconds.', 'Lower the barbell back to the starting position in a controlled manner.']",Free weights,barbell_shrugs.jpg
17,Barbell Skull Crusher,Medium,Triceps,"['Barbell', 'Decline bench', 'Bench']","['Sit on a flat bench and place the barbell on your thigh, holding it with a grip about shoulder-width apart.', 'Lean back and place the bar on your back. Hold the bar with both hands and extend your arms above your upper body. You can use a little push from your legs to help lift heavier weights.', 'Pull your shoulder blades back and slightly bend your elbows. This is the starting position.', 'Lower the bar towards your forehead or behind your head, making sure the movement mainly comes from your elbows. If you’re lowering the bar behind your head, your shoulders and wrists may be slightly more active.', 'Then, lift the weight back up to the starting position by extending your elbows.']",Free weights,barbell_skull_crusher.jpg
18,Barbell Squats,Hard,Thigh,['Barbell'],"['Before getting into the rack, set the barbell supports to about the height of your armpits. This height allows most athletes to lift the weight smoothly.', 'Position yourself in the power rack so the barbell is behind your neck and touching it. You’ll need to bend your knees slightly due to the height adjustment. Stand with your feet about shoulder-width apart.', 'Place your hands wider than shoulder-width on the barbell from behind.', 'Lift your body slightly and position it so the bar presses against your lower neck. Don’t lift the weight out of the rack yet. The bar shouldn’t push your head forward or be set too low, risking it slipping backward.', 'In this position, your butt is pushed back a little, your lower back forms a slight hollow back, and your upper back is straight. Your upper body leans forward slightly under the barbell.', 'Lift the barbell out of the rack by straightening your body. Take a few steps back from the supports to perform the exercise without touching them.', 'Stand shoulder-width apart again. The weight rests on the back of your neck. Maintain the same back posture: a slight hollow back in the lower back and a straight upper back. Don’t arch it.', 'Adjust your posture so the weight of the barbell is evenly distributed across your feet. While some recommend carrying the weight primarily through the heels, this can cause balance issues.', 'Lower your body by slowly bending your knees and hips simultaneously in a controlled manner. Your butt will naturally push back a little, and your upper body will lean forward.', 'Stop the downward movement when your thighs are parallel to the floor.', 'Raise your torso back up by extending your knees and straightening your hips.']",Free weights,barbell_squats.jpg
19,Barbell Step-Ups,Medium,Butt,"['Bench', 'Barbell']","['Stand hip-width apart in front of the bench or box. Hold the barbell behind your neck, gripping it firmly with both hands. If it’s uncomfortable, you can wrap a towel around it or use a barbell neck pad.', 'Position your training leg on the bench without stepping up. Keep your abs tight and your back straight in this starting position.', 'Begin the step-up by stepping onto the bench or box. Use only your training leg to lift yourself up, and don’t push off the ground with your second leg. Keep the barbell behind your neck with the same grip throughout.', 'Use your second leg only for stabilization at the top of the step, not for relieving tension in the training leg. Lightly touch the bench or box with the toe or sole of your second leg.', 'Reverse the movement, touching the ground with your second leg and allowing it to take a bit of weight off your training leg. Maintain muscle tension in the training leg.', 'After completing the reps with one leg, switch to the other leg and do the same number of reps.']",Free weights,barbell_step-ups.jpg
20,Barbell Wrist Curl,Easy,Forearm,['Barbell'],"['Sit on the end of a flat bench with the barbell on your thighs.', 'Grab the barbell using an overhand grip (back of your hand facing up) about shoulder-width apart, and lift it slightly. At the same time, spread your legs to approximately shoulder-width apart.', 'Rest your forearms on your thighs, allowing your wrists to extend beyond your knees. Keep holding the barbell firmly in an overhand grip.', 'Bend your wrists as far as possible without moving your forearms to reach the starting position.', 'Slowly lower your wrists down while keeping the tension steady. Don’t let the weight rest on your wrists or legs.', 'Next, lift your wrists back up by bending them and bring the barbell to the starting position.']",Free weights,barbell_wrist_curl.jpg
21,Behind-The-Neck Overhead Press,Medium,Shoulder,['Barbell'],"['Position the barbell in the rack at chest height.', 'Stand in front of the bar and grasp it with a relaxed, wide grip.', 'Duck under the bar and place it on your neck. Keep your hands in the same position and secure your grip.', 'Firmly grip the bar, lift it from the holder, and step away from the rack.', 'Stand with your feet about shoulder-width apart.', 'Tilt your head slightly forward.', 'Raise the barbell to your ear level. This is your starting position.', 'Straighten your arms, lifting the bar behind your head. Pause briefly, then lower the weight back to the starting position under control.']",Free weights,behind-the-neck_overhead_press.jpg
22,Bench Dip,Easy,Triceps,['Bench'],"['Sit sideways on the flat bench and place your palms on the edges to your left and right.', 'Stretch your feet out so your butt clears the seat, with your hands supporting your body.', 'There should be about 15 to 20 centimeters between your butt or lower back and the flat bench, but this can vary depending on your body size.', 'Rest your feet on your heels with your legs slightly bent at the knees. Straightening your legs completely makes the exercise more challenging, which is better for advanced users.', 'Lower your butt by bending your arms at the elbows, keeping your feet in the same place on the floor.', 'At a 90-degree angle between your forearms and upper arms, you’ve completed the movement.', 'Lift your butt back up by straightening your arms, keeping the elbows slightly bent to protect the joints.']",Body weight,bench_dip.jpg
23,Bench Press,Medium,Chest,"['Barbell', 'Bench']","['Lie on the flat bench with your back. The barbell bar in the holder should be at about eye level.', 'Keep your feet firmly on the ground. At the gym, some people lift their legs or place their feet on the bench, but you should avoid this. Keeping your feet on the ground provides the best stability.', 'Retract your shoulder blades.', 'Press your feet onto the floor and tense your lower back. That way you form a slight hollow back – the so-called “bridge”.', 'Extend your arms straight up and reach for the barbell. Then, move your hands outward by one hand width. Your grip should now be slightly wider than shoulder-width. A grip that’s too narrow will focus more on the triceps and less on the pectoral muscles, while a grip that’s too wide will activate the shoulder more. However, the optimal grip depends on your individual physique.', 'When gripping the barbell, your thumb should wrap around the bar for safety. Don’t use the so-called monkey grip (see below).', 'Lift the barbell bar out of the rack. Avoid bending your wrists too much.', 'Lower the bar evenly above your chest, not too fast. Keep your elbows directed downwards, towards your feet, rather than spreading them outwards to the sides. Keep your shoulder blades tucked in during the entire movement. Inhale as you lower the bar.', 'The exact spot where the barbell lands when you lower it depends on your individual anatomy. For some, it’s around nipple level, while for others it’s slightly above or below. Make sure not to lower the bar too close to your neck.', 'Opinions differ on whether the bar should touch your chest or not. As long as you don’t rest the weight on your body or use momentum to bounce it off your chest, it shouldn’t matter too much.', 'Perform the upward movement as quickly and evenly as possible, exhaling as you do so.', 'Once at the top, maintain body tension, avoid fully extending your arms, and repeat.']",Free weights,bench_press.jpg
24,Biceps Curls,Easy,Biceps,['Dumbbell'],"['Hold a dumbbell in each hand with your arms extended alongside your body.', 'Raise the dumbbells simultaneously by bending your elbows. As you start the movement, turn your palms forward so that they face forward at the beginning of the sequence.', 'Once at the top, hold the tension briefly. The backs of your hands should now face forward.', 'To complete a biceps curl repetition, lower the dumbbells back down in a controlled manner. Your palms will follow the same sequence in reverse order.']",Free weights,biceps_curls.jpg
25,Bicycle Crunches,Medium,Abs,['Exercise without equipment'],"['Lie on your back with your legs straight and your arms extended beside your body.', 'Lift your legs, keeping your pelvis on the floor.', 'Start by imitating a pedaling motion with your legs, like cycling. Bend one leg, bringing the knee toward your body, while extending the other leg as it nears the floor. At the end of this movement, one knee should be as close to your torso as possible, while the other leg is fully extended. Now, reverse the motion, bending the other leg and bringing the knee up as you extend the second leg.', 'Once you’ve mastered this movement, place your hands on the sides of the back of your head.', 'As you pedal, bring one elbow forward, bending your upper abdomen slightly to the side. For example, when your right leg is bent, your left elbow should point forward.']",Body weight,bicycle_crunches.jpg
26,Cable Chest Fly,Medium,Middle,['Cable pull station'],"['Stand in the middle of the cable pull tower, holding the handles with your arms spread and palms facing forward.', 'Take a step forward, keeping one leg in front of the other for stabilization. The weight shouldn’t move yet.', 'Lean your upper body forward slightly, creating a small arch in your back. Your arms should remain extended with elbows slightly bent.', 'Push the handles forward through your shoulders, keeping your arms extended and elbows minimally bent throughout the movement.', 'Bring the handles together in front of your body at chest height and hold for a moment. The tension in your chest is at its highest now.', 'Control your arms as you spread them again, but don’t go too far back so that the tension in your chest isn’t completely lost. The weight you’re moving shouldn’t touch the rest of the weight block until the end of the set.']",Cable pull,cable_chest_fly.jpg
27,Cable Crunch,Medium,Abs,['Cable pull station'],"['Attach the triceps rope to the upper cable pulley and start with a lighter weight to learn the proper form.', 'Hold the triceps rope with both hands and kneel down, facing the cable machine. Your hands should be in front of your body, holding the rope. Make sure there’s enough space to perform the crunch movement without issue, but don’t go too far back, as it can compromise your stability and form.', 'Lean forward with your upper body and head, passing the triceps rope over your head. Your hands should now be on either side of your head, holding the rope.', 'Tuck your chin in, pointing it towards your knees.', 'Lower your upper body, moving the weight as a whole. Avoid arching your upper back. Engaging your upper abs will happen automatically as you try to bring your chin closer to your knees. Keep the triceps rope’s position behind your head constant throughout the movement.', 'Pause briefly in the lowered position before lifting your upper body back to the starting position in a controlled manner. The moving weight shouldn’t touch the rest of the weight stack just yet. Keep the tension throughout the rep. When your set is finished, then you can let the weight stack down completely.']",Cable pull,cable_crunch.jpg
28,Cable Curls,Easy,Biceps,['Cable pull station'],"['Choose your weight and attach the handle to the lower cable pulley mount.', 'Grab the handle with an underhand grip (back of the hand facing down). Lift the handle with the cable attached by bending your knees, keeping your back straight, and standing up using your legs. Avoid lifting the weight with an arched back.', 'Keep your arms extended in front of your body.', 'Position yourself far enough away from the cable pull tower so that the weight is slightly lifted off the rest of the weight block in this extended position. This ensures that the selected weight doesn’t rest on the block during the exercise.', 'Stand with your feet shoulder-width apart.', 'Now bend your elbows, bringing your forearms upwards. The handle and your hands move towards your face. The movement should come exclusively from your elbows.', 'At the end of the movement, lower your forearms back down in a controlled manner, maintaining muscle tension. Use the full range of motion for the best muscle stimulus.']",Cable pull,cable_curls.jpg
29,Cable Deadlift,Hard,Lower,['Cable pull station'],"['Attach the handles to the two lower mounts of the cable pull tower.', 'Stand shoulder-width apart in the tower and grab the two handles.', 'Squat down with your hips between your knees and head, not squatting too far. Keep your back straight and your lower back slightly arched. Look straight ahead, aligning your head with your spine and hips. Keep your back from arching and engage your core. This is the starting position.', 'Lift the weight with your arms extended by straightening your legs and your upper body. The raised position of the handles should vertically align with the starting position.', 'Finish the movement when you’ve slightly pushed your hips forward, are standing upright, and the handles are next to your hips. Be careful not to hyperextend your back. Hold this position for a few seconds.', 'Lower the weight in a controlled manner by bending your legs and torso, returning to the starting position.']",Cable pull,cable_deadlift.jpg
30,Cable Hip Adduction,Medium,Inner,['Cable pull station'],"['Stand sideways next to the cable pull tower and attach the foot strap to the lower cable.', 'Secure the strap around your ankle, adjust the weight, and keep in mind that since you’re working one leg at a time, you’ll need more body stabilization, so the weight should be less than half of what you’d use on an adductor machine.', 'Stand beside the cable pull tower, take a few steps to the side until the cable is taut but not lifting the weight, and make sure you can grab the opposite side of the tower. If necessary, extend the cable with an extension or chain.', 'Take another step to the side, extending the leg with the strap.', 'Stand tall, maintain body tension, and keep your exercising leg extended.', 'Slowly move your stretched foot, which is attached to the strap, towards your standing leg.', 'Your foot should pass in front of your standing leg for maximum range of motion.', 'Control your leg as you return to the starting position and repeat the movement. When you’ve finished with one leg, switch to the other and repeat. To avoid imbalances in your progress, perform the same number of repetitions on each leg, even if one is stronger.']",Cable pull,cable_hip_adduction.jpg
31,Cable Lat Pulldown,Easy,Upper,['Cable pull station'],"['Adjust the weight and stand in front of the bench.', 'Grab the lat bar with your preferred grip (see above) and sit with your arms extended up to the bar. At this point, you’ll start to lift the training weight a bit. Lock your legs under the pads.', 'Pull your shoulders back slightly and form a small arch in your back. You’re now in the starting position.', 'Pull the lat bar down in front of your chest, keeping your elbows close to your body. Aim to move the weight towards your hips, not behind your back. Only at the end of the pulling motion should your elbows move a bit behind your back. Hold this position for a moment.', 'Slowly raise the weight back up to the starting position in a controlled manner.']",Cable pull,cable_lat_pulldown.jpg
32,"Cable Lat Pulldown, close grip",Easy,Back,['Cable pull station'],"['Adjust the weight and stand in front of the bench.', 'Grab the lat bar with a tight overhand or underhand grip (see above) and sit with arms extended toward the bar. The training weight might move a bit at this point. Place your knees/thighs under the designated pads (if available) to secure your body.', 'Pull your shoulders back slightly and form a small arch in your back. You’re now in the starting position.', 'Pull the lat bar down in front of your chest, keeping your elbows close to your body. Imagine moving the weight toward your hips, not behind your back, and follow this movement. Only at the end of the pulling motion should your elbows move slightly behind your back. Hold this position for a moment.', 'Slowly raise the weight back to the starting position in a controlled motion.']",Cable pull,"cable_lat_pulldown,_close_grip.jpg"
33,Cable Lying Knee Tucks,Medium,Abs,['Cable pull station'],"['Adjust the weight on the cable tower and attach the strap(s) to the mount.', 'Sit in front of the cable pulley and secure your feet to the straps.', 'Move back a bit, lie flat on the floor, and raise your legs at 90-degree angles. This position tightens the cable and moves the weight halfway. Simultaneously, place both arms on the floor at an angle pointing down (toward the cable pulley) to stabilize your body (see video above).', 'Now, slightly extend your legs without fully straightening them. The weight shouldn’t touch the rest of the block on the cable tower. You’re now in the starting position.', 'Bend your legs and slowly pull your knees towards your torso in a controlled manner until your butt lifts off the floor. Your lower abdomen will bend during this movement. Hold this position for a brief moment.', 'Extend your legs back to the starting position.']",Cable pull,cable_lying_knee_tucks.jpg
34,Cable Row,Medium,Back,['Cable pull station'],"['Attach your preferred grip to the cable tower and sit on the seat cushion. Place your feet on the support plates.', 'Firmly grip the handle with both hands and shift your buttocks back so that the rope is stretched with straight arms, without moving the weight yet. Keep your legs slightly bent and your elbows not fully extended.', 'Straighten your upper body and form a slight hollow back.', 'Pull your shoulder blades back and push your chest out. You’re now in the starting position.', 'Control the handle as you pull it towards your upper abdomen, keeping your elbows close to your body. Maintain your shoulder blades pulled back.', 'Slowly and controlled, return your hands to the starting position.']",Cable pull,cable_row.jpg
35,Cable Shrugs,Easy,Neck,['Cable pull station'],"['Attach your preferred grip to the lower attachment.', 'Stand with the mounted grip shoulder-width apart in front of the tower. Your arms should be extended and the grip loose, without lifting the weight.', 'Firmly grasp the grip, take a small step back, and pull the weight slightly away from the block with your arms extended.', 'Pull your shoulder blades back. You’re now in the starting position.', 'Raise your shoulders straight up, moving the weight on the cable. Keep your arms extended and shoulders contracted. After a brief pause, lower the weight again without putting it down on the block, and then repeat the exercise.']",Cable pull,cable_shrugs.jpg
36,Cable Tricep Pushdowns,Easy,Triceps,['Cable pull station'],"['Stand in front of the cable tower in your preferred foot stance (refer to above).', 'Firmly grasp the rope attached to the top of the cable machine with both hands.', 'Pull the rope towards you by pressing your elbows to the sides of your torso. Your arms should be bent at about a 90-degree angle at the elbows. With this position, you’ve already lifted the weight a little off the block. You’re now in the starting position.', 'Press the rope down. Try to move the two ends of the rope towards your pockets. This will make the rope move slightly apart and your hands just to the side of your body. The pressing movement should only come from extending the elbows that are fixed to the sides. Don’t push your elbows forward or backward.', 'Move the rope down until your arms are fully extended. Hold the position for a moment, then move the rope back up to the starting position in a controlled manner.']",Cable pull,cable_tricep_pushdowns.jpg
37,Cable Wrist Curls,Easy,Forearm,['Cable pull station'],"['Position the weight bench lengthwise in front of the cable machine. Attach the triceps grip to the lower cable attachment.', 'Sit upright at the front end of the weight bench, directly in front of the cable machine. Your thighs should be as parallel to the floor as possible. If needed, raise your heels or place them on the bench’s feet to align your thighs parallel to the floor (see video).', 'Hold the handle with an underhand grip using both hands.', 'Place your forearms, still holding the triceps grip with an underhand grip, on your thighs. This will already lift the weight off the block. Push your wrists forward so they’re right above your knees.', 'Slowly lower the handle by extending your wrists downward. At the end of the stretching movement, gently open your hand, but keep your fingers bent at the end. This moves the handle to your fingers’ middle knuckles. You’re now in the starting position.', 'Pull the handle up by closing your fist. At the same time, bend your wrist and keep moving the weight up. Hold this position for a moment, and then slowly and smoothly lower the weight back down to the starting position.']",Cable pull,cable_wrist_curls.jpg
38,Calf Raises,Easy,Calves,['Exercise without equipment'],"['Stand on the step with your toes slightly narrower than shoulder-width apart. Your heels should extend beyond the step.', 'Keep your back straight and maintain a slight arch in your lower back. You can place your hands on your hips or choose a posture that provides the best balance.', 'Lower your heels by bending your ankles to reach the starting position.', 'Raise your heels by extending your ankles as far as you can without losing balance or feeling uncomfortable. Hold the extended position for a brief moment, and then slowly and in a controlled manner, lower your body back to the starting position.']",Free weights,calf_raises.jpg
39,Chest Press,Easy,Middle,['Machine'],"['Sit on the machine’s seat. Adjust the seat height so the handles are at chest level. Set the weight, starting a bit lower if it’s your first time using the machine.', 'On some chest press machines, you can also adjust the grip depth, changing the resting position of the handles. Ensure the handles aren’t too far back to avoid straining your shoulders. Some machines have a foot lever to help move the handles into position. In any case, make sure your hands aren’t behind your chest in the starting position.', 'Press your back into the back pad and keep your head upright.', 'Controlledly push the handles forward. Don’t fully extend your elbows at the end of the movement; keep them slightly bent to maintain muscle tension.', 'Consciously follow the machine’s movement. On some machines, you push the handles directly forward, while on others, the handles move up at a slight angle.', 'Lower the weight back down in a controlled manner, returning your hands to the starting position. The moved weight shouldn’t touch the stationary weight at the end or beginning of a repetition. Only put the weight down when you finish the set.']",Machine,chest_press.jpg
40,Close-Grip Bench Press,Medium,Triceps,"['Bench', 'Barbell']","['Lie down on your back on the flat bench. The barbell in the rack should be at eye level.', 'Place your feet firmly on the ground. Don’t lift them like you sometimes see in the gym. You’ll achieve the best stability with your feet on the ground.', 'Pull your shoulder blades back.', 'Tighten your lower back and create a slight arch. Press your upper back into the flat bench to form the “bridge.”', 'Extend your arms straight up and grip the barbell about shoulder width apart.', 'For safety, make sure your thumb grips the bar too.', 'Lift the barbell out of the rack.', 'Lower the bar evenly and in a controlled manner above your chest. Don’t flare your elbows out too much or press them too close to your body. Find a neutral elbow position that doesn’t cause pain.', 'Keep your shoulder blades tucked in while lowering and breathe in.', 'The barbell might end up lower than usual due to the narrow grip. That’s fine. Ensure your posture feels natural and pain-free when lowering the bar.', 'Perform the upward movement quickly but with proper form. Exhale as you do so.', 'At the top, maintain body tension, don’t fully extend your arms, and repeat the movement.']",Free weights,close-grip_bench_press.jpg
